LOG_0001 | [19-05-2026 12:05:45] | ADM/001 | REGISTERED_NEW_ADMIN | ADM/001
LOG_0002 | [19-05-2026 12:07:40] | ADM/001 | LOGGED_IN | SYSTEM
LOG_0003 | [19-05-2026 12:10:05] | ADM/001 | REGISTERED_DOCTOR | DOC/001
LOG_0001 | [19-05-2026 12:53:28] | ADM/001 | LOGGED_IN | SYSTEM
LOG_0002 | [19-05-2026 12:54:28] | ADM/001 | REGISTERED_EMPLOYEE | EMP/001
LOG_0003 | [19-05-2026 12:58:11] | EMP/001 | REGISTERED_PATIENT | P26/001
LOG_0001 | [19-05-2026 13:00:43] | ADM/001 | LOGGED_IN | SYSTEM
LOG_0001 | [19-05-2026 13:02:24] | ADM/001 | LOGGED_IN | SYSTEM
LOG_0002 | [19-05-2026 13:03:30] | ADM/001 | UPDATED_USER_PROFILE | P26/001
LOG_0001 | [19-05-2026 13:06:10] | EMP/001 | UPDATED_PATIENT | P26/001
LOG_0001 | [19-05-2026 13:09:02] | EMP/001 | CREATED_VISIT | VIS/001
LOG_0001 | [19-05-2026 13:19:38] | EMP/001 | UPDATED_PATIENT | P26/001
